GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
8600000US70403,70403,ZCTA5 70403,45584,5241
8600000US70420,70420,ZCTA5 70420,61766,4417
8600000US70422,70422,ZCTA5 70422,38340,7253
8600000US70426,70426,ZCTA5 70426,39005,8212
8600000US70427,70427,ZCTA5 70427,30836,2728
8600000US70431,70431,ZCTA5 70431,63774,11248
8600000US70433,70433,ZCTA5 70433,68654,4075
8600000US70435,70435,ZCTA5 70435,68594,5897
8600000US70436,70436,ZCTA5 70436,22785,7735
8600000US70437,70437,ZCTA5 70437,69795,16226
8600000US70438,70438,ZCTA5 70438,36416,3744
8600000US70441,70441,ZCTA5 70441,42271,9128
8600000US70442,70442,ZCTA5 70442,-,**
8600000US70443,70443,ZCTA5 70443,31591,7585
8600000US70444,70444,ZCTA5 70444,30625,5120
8600000US70445,70445,ZCTA5 70445,51357,5923
8600000US70446,70446,ZCTA5 70446,60726,12909
8600000US70447,70447,ZCTA5 70447,101505,6722
8600000US70448,70448,ZCTA5 70448,79426,6740
8600000US70449,70449,ZCTA5 70449,50119,12082
8600000US70450,70450,ZCTA5 70450,27358,5405
8600000US70451,70451,ZCTA5 70451,-,**
8600000US70452,70452,ZCTA5 70452,49886,5328
8600000US70453,70453,ZCTA5 70453,41875,40098
8600000US70454,70454,ZCTA5 70454,55884,5595
8600000US70455,70455,ZCTA5 70455,-,**
8600000US70456,70456,ZCTA5 70456,35503,5658
8600000US70458,70458,ZCTA5 70458,65109,3614
8600000US70460,70460,ZCTA5 70460,48750,6267
8600000US70461,70461,ZCTA5 70461,63948,4338
8600000US70462,70462,ZCTA5 70462,48452,7251
8600000US70463,70463,ZCTA5 70463,-,**
8600000US70464,70464,ZCTA5 70464,39441,10713
8600000US70465,70465,ZCTA5 70465,30000,11231
8600000US70466,70466,ZCTA5 70466,44604,8121
8600000US70471,70471,ZCTA5 70471,83019,6284
8600000US70501,70501,ZCTA5 70501,26365,1646
8600000US70503,70503,ZCTA5 70503,72632,4375
8600000US70506,70506,ZCTA5 70506,43677,2403
8600000US70507,70507,ZCTA5 70507,47201,7309
8600000US70508,70508,ZCTA5 70508,72109,4955
8600000US70510,70510,ZCTA5 70510,47483,4582
8600000US70512,70512,ZCTA5 70512,50996,5178
8600000US70513,70513,ZCTA5 70513,-,**
8600000US70514,70514,ZCTA5 70514,41250,4010
8600000US70515,70515,ZCTA5 70515,32411,15923
8600000US70516,70516,ZCTA5 70516,42440,25807
8600000US70517,70517,ZCTA5 70517,42144,3087
8600000US70518,70518,ZCTA5 70518,72758,9462
